1,alive,vivo ,,,,,,,,,,,,,,,,
2,bad,malo ,,,,,,,,,,,,,,,,
3,beautiful,bonito ,,,,,,,,,,,,,,,,
4,best,mejor,,,,,,,,,,,,,,,,
5,big,grande,,,,,,,,,,,,,,,,
6,black,negro ,,,,,,,,,,,,,,,,
7,blind,ciego ,,,,,,,,,,,,,,,,
8,blue,azul,,,,,,,,,,,,,,,,
9,brown,marrón,,,,,,,,,,,,,,,,
10,certain,seguro,,,,,,,,,,,,,,,,
11,cheap,barato ,,,,,,,,,,,,,,,,
12,clean,limpio ,,,,,,,,,,,,,,,,
13,clear,claro,,,,,,,,,,,,,,,,
14,cold,frío ,,,,,,,,,,,,,,,,
15,common,común,,,,,,,,,,,,,,,,
16,cool,fresco ,,,,,,,,,,,,,,,,
17,curved,curvado ,,,,,,,,,,,,,,,,
18,dark,oscuro ,,,,,,,,,,,,,,,,
19,dead,muerto ,,,,,,,,,,,,,,,,
20,deaf,sordo ,,,,,,,,,,,,,,,,
21,deep,profundo ,,,,,,,,,,,,,,,,
22,different,diferente,,,,,,,,,,,,,,,,
23,dirty,sucio ,,,,,,,,,,,,,,,,
24,dry,seco ,,,,,,,,,,,,,,,,
25,expensive,caro ,,,,,,,,,,,,,,,,
26,famous,famoso ,,,,,,,,,,,,,,,,
27,fast,rápido ,,,,,,,,,,,,,,,,
28,flat,liso ,,,,,,,,,,,,,,,,
29,free,libre,,,,,,,,,,,,,,,,
30,good,bueno ,,,,,,,,,,,,,,,,
31,gray,gris,,,,,,,,,,,,,,,,
32,green,verde,,,,,,,,,,,,,,,,
33,happy,feliz,,,,,,,,,,,,,,,,
34,hard,duro ,,,,,,,,,,,,,,,,
35,healthy,sano ,,,,,,,,,,,,,,,,
36,heavy,pesado ,,,,,,,,,,,,,,,,
37,high,alto,,,,,,,,,,,,,,,,
38,hot,caliente,,,,,,,,,,,,,,,,
39,important,importante,,,,,,,,,,,,,,,,
40,left,izquierdo ,,,,,,,,,,,,,,,,
41,light,ligero ,,,,,,,,,,,,,,,,
42,living,vivo,,,,,,,,,,,,,,,,
43,long,largo ,,,,,,,,,,,,,,,,
44,loose,suelto ,,,,,,,,,,,,,,,,
45,loud,ruidoso ,,,,,,,,,,,,,,,,
46,low,bajo ,,,,,,,,beautiful,b_d,0.077530253,adjective,147.15867,bonito,?ma?lo,adjetivo,24.486566
47,mean,tacaño ,,,,,,,,,,,,,,,,
48,narrow,estrecho ,,,,,,,,,,,,,,,,
49,natural,natural,,,,,,,,,,,,,,,,
50,necessary,necessario,,,,,,,,,,,,,,,,
51,new,nuevo ,,,,,,,,,,,,,,,,
52,nice,agradable,,,,,,,,,,,,,,,,
53,normal,normal,,,,,,,,,,,,,,,,
54,nuclear,nuclear,,,,,,,,,,,,,,,,
55,old,viejo ,,,,,,,,,,,,,,,,
56,opposite,opuesto,,,,,,,,,,,,,,,,
57,pink,rosado ,,,,,,,,,,,,,,,,
58,poor,pobre,,,,,,,,,,,,,,,,
59,probable,probable,,,,,,,,,,,,,,,,
60,quiet,silencioso ,,,,,,,,,,,,,,,,
61,red,rojo ,,,,,,,,,,,,,,,,
62,rich,rico ,,,,,,,,,,,,,,,,
63,sad,triste,,,,,,,,,,,,,,,,
64,shallow,poco profundo ,,,,,,,,,,,,,,,,
65,short,corto ,,,,,,,,,,,,,,,,
66,sick,enfermo ,,,,,,,,,,,,,,,,
67,simple,sencillo,,,,,,,,,,,,,,,,
68,slow,lento ,,,,,,,,,,,,,,,,
69,small,pequeño ,,,,,,,,,,,,,,,,
70,soft,suave,,,,,,,,,,,,,,,,
71,special,especial,,,,,,,,,,,,,,,,
72,strong,fuerte,,,,,,,,,,,,,,,,
73,tall,alto ,,,,,,,,,,,,,,,,
74,thick,gordo ,,,,,,,,,,,,,,,,
75,thin,delgado ,,,,,,,,,,,,,,,,
76,tight,estrecho,,,,,,,,,,,,,,,,
77,top,cima,,,,,,,,,,,,,,,,
78,ugly,feo ,,,,,,,,,,,,,,,,
79,weak,débil,,,,,,,,,,,,,,,,
80,wet,húmedo ,,,,,,,,,,,,,,,,
81,white,blanco ,,,,,,,,,,,,,,,,
82,wide,ancho ,,,,,,,,,,,,,,,,
83,wise,sabio ,,,,,,,,,,,,,,,,
84,yellow,amarillo ,,,,,,,,,,,,,,,,
85,young,joven,,,,,,,,,,,,,,,,
86,always,siempre,,,,,,,,,,,,,,,,
87,straight,derecho ,,,,,,,,,,,,,,,,
88,up,arriba,,,,,,,,,,,,,,,,
89,yes,sí,,,,,,,,,,,,,,,,
90,no,no,,,,,,,,,,,,,,,,
91,actor,actor,,,,,,,,,,,,,,,,
