1,vivo ,alive,,,,,,,,,,,,,,,,
2,malo ,bad,,,,,,,,,,,,,,,,
3,bonito ,beautiful,,,,,,,,,,,,,,,,
4,mejor,best,,,,,,,,,,,,,,,,
5,grande,big,,,,,,,,,,,,,,,,
6,negro ,black,,,,,,,,,,,,,,,,
7,ciego ,blind,,,,,,,,,,,,,,,,
8,azul,blue,,,,,,,,,,,,,,,,
9,marrón,brown,,,,,,,,,,,,,,,,
10,seguro,certain,,,,,,,,,,,,,,,,
11,barato ,cheap,,,,,,,,,,,,,,,,
12,limpio ,clean,,,,,,,,,,,,,,,,
13,claro,clear,,,,,,,,,,,,,,,,
14,frío ,cold,,,,,,,,,,,,,,,,
15,común,common,,,,,,,,,,,,,,,,
16,fresco ,cool,,,,,,,,,,,,,,,,
17,curvado ,curved,,,,,,,,,,,,,,,,
18,oscuro ,dark,,,,,,,,,,,,,,,,
19,muerto ,dead,,,,,,,,,,,,,,,,
20,sordo ,deaf,,,,,,,,,,,,,,,,
21,profundo ,deep,,,,,,,,,,,,,,,,
22,diferente,different,,,,,,,,,,,,,,,,
23,sucio ,dirty,,,,,,,,,,,,,,,,
24,seco ,dry,,,,,,,,,,,,,,,,
25,caro ,expensive,,,,,,,,,,,,,,,,
26,famoso ,famous,,,,,,,,,,,,,,,,
27,rápido ,fast,,,,,,,,,,,,,,,,
28,liso ,flat,,,,,,,,,,,,,,,,
29,libre,free,,,,,,,,,,,,,,,,
30,bueno ,good,,,,,,,,,,,,,,,,
31,gris,gray,,,,,,,,,,,,,,,,
32,verde,green,,,,,,,,,,,,,,,,
33,feliz,happy,,,,,,,,,,,,,,,,
34,duro ,hard,,,,,,,,,,,,,,,,
35,sano ,healthy,,,,,,,,,,,,,,,,
36,pesado ,heavy,,,,,,,,,,,,,,,,
37,alto,high,,,,,,,,,,,,,,,,
38,caliente,hot,,,,,,,,,,,,,,,,
39,importante,important,,,,,,,,,,,,,,,,
40,izquierdo ,left,,,,,,,,,,,,,,,,
41,ligero ,light,,,,,,,,,,,,,,,,
42,vivo,living,,,,,,,,,,,,,,,,
43,largo ,long,,,,,,,,,,,,,,,,
44,suelto ,loose,,,,,,,,,,,,,,,,
45,ruidoso ,loud,,,,,,,,,,,,,,,,
46,bajo ,low,,,,,,,,beautiful,b_d,0.077530253,adjective,147.15867,bonito,?ma?lo,adjetivo,24.486566
47,tacaño ,mean,,,,,,,,,,,,,,,,
48,estrecho ,narrow,,,,,,,,,,,,,,,,
49,natural,natural,,,,,,,,,,,,,,,,
50,necessario,necessary,,,,,,,,,,,,,,,,
51,nuevo ,new,,,,,,,,,,,,,,,,
52,agradable,nice,,,,,,,,,,,,,,,,
53,normal,normal,,,,,,,,,,,,,,,,
54,nuclear,nuclear,,,,,,,,,,,,,,,,
55,viejo ,old,,,,,,,,,,,,,,,,
56,opuesto,opposite,,,,,,,,,,,,,,,,
57,rosado ,pink,,,,,,,,,,,,,,,,
58,pobre,poor,,,,,,,,,,,,,,,,
59,probable,probable,,,,,,,,,,,,,,,,
60,silencioso ,quiet,,,,,,,,,,,,,,,,
61,rojo ,red,,,,,,,,,,,,,,,,
62,rico ,rich,,,,,,,,,,,,,,,,
63,triste,sad,,,,,,,,,,,,,,,,
64,poco profundo ,shallow,,,,,,,,,,,,,,,,
65,corto ,short,,,,,,,,,,,,,,,,
66,enfermo ,sick,,,,,,,,,,,,,,,,
67,sencillo,simple,,,,,,,,,,,,,,,,
68,lento ,slow,,,,,,,,,,,,,,,,
69,pequeño ,small,,,,,,,,,,,,,,,,
70,suave,soft,,,,,,,,,,,,,,,,
71,especial,special,,,,,,,,,,,,,,,,
72,fuerte,strong,,,,,,,,,,,,,,,,
73,alto ,tall,,,,,,,,,,,,,,,,
74,gordo ,thick,,,,,,,,,,,,,,,,
75,delgado ,thin,,,,,,,,,,,,,,,,
76,estrecho,tight,,,,,,,,,,,,,,,,
77,cima,top,,,,,,,,,,,,,,,,
78,feo ,ugly,,,,,,,,,,,,,,,,
79,débil,weak,,,,,,,,,,,,,,,,
80,húmedo ,wet,,,,,,,,,,,,,,,,
81,blanco ,white,,,,,,,,,,,,,,,,
82,ancho ,wide,,,,,,,,,,,,,,,,
83,sabio ,wise,,,,,,,,,,,,,,,,
84,amarillo ,yellow,,,,,,,,,,,,,,,,
85,joven,young,,,,,,,,,,,,,,,,
86,siempre,always,,,,,,,,,,,,,,,,
87,derecho ,straight,,,,,,,,,,,,,,,,
88,arriba,up,,,,,,,,,,,,,,,,
89,sí,yes,,,,,,,,,,,,,,,,
90,no,no,,,,,,,,,,,,,,,,
91,actor,actor,,,,,,,,,,,,,,,,1,vivo ,alive,,,,,,,,,,,,,,,,
